GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201611010CLE,2017,Tue,11,1,2016,6:00 pm,Houston,120,Cleveland,128,"20,562"
201611010DET,2017,Tue,11,1,2016,7:30 pm,New York,89,Detroit,102,"13,087"
201611010IND,2017,Tue,11,1,2016,7:00 pm,L.A. Lakers,108,Indiana,115,"15,348"
201611010MIA,2017,Tue,11,1,2016,7:30 pm,Sacramento,96,Miami,108,OT,"19,612"
201611010MIN,2017,Tue,11,1,2016,8:00 pm,Memphis,80,Minnesota,116,"14,774"
201611010NOP,2017,Tue,11,1,2016,8:00 pm,Milwaukee,117,New Orleans Pelicans,113,"15,515"
201611010PHI,2017,Tue,11,1,2016,7:00 pm,Orlando,103,Philadelphia,101,"12,529"
201611010POR,2017,Tue,11,1,2016,10:00 pm,Golden State,127,Portland,104,"19,393"
201611010SAS,2017,Tue,11,1,2016,8:30 pm,Utah,106,San Antonio,91,"18,418"
201611020ATL,2017,Wed,11,2,2016,7:30 pm,L.A. Lakers,123,Atlanta,116,"13,800"
201611020BOS,2017,Wed,11,2,2016,8:00 pm,Chicago,100,Boston,107,"18,624"
201611020BRK,2017,Wed,11,2,2016,7:30 pm,Detroit,101,Brooklyn Nets,109,"13,650"
201611020CHO,2017,Wed,11,2,2016,7:00 pm,Philadelphia,93,Charlotte Hornets,109,"15,275"
201611020LAC,2017,Wed,11,2,2016,10:30 pm,Oklahoma City Thunder,85,L.A. Clippers,83,"19,060"
201611020MEM,2017,Wed,11,2,2016,8:00 pm,New Orleans Pelicans,83,Memphis,89,OT,"15,881"
201611020NYK,2017,Wed,11,2,2016,7:30 pm,Houston,118,New York,99,"19,812"
201611020PHO,2017,Wed,11,2,2016,10:00 pm,Portland,115,Phoenix,118,OT,"17,284"
201611020UTA,2017,Wed,11,2,2016,9:00 pm,Dallas,81,Utah,97,"19,318"
201611020WAS,2017,Wed,11,2,2016,7:00 pm,Toronto,113,Washington,103,"19,581"
201611030CLE,2017,Thu,11,3,2016,8:00 pm,Boston,122,Cleveland,128,"20,562"
201611030GSW,2017,Thu,11,3,2016,10:30 pm,Oklahoma City Thunder,96,Golden State,122,"19,596"
201611030MIL,2017,Thu,11,3,2016,8:00 pm,Indiana,107,Milwaukee,125,"11,374"
201611030MIN,2017,Thu,11,3,2016,8:00 pm,Denver,102,Minnesota,99,"11,219"
201611030ORL,2017,Thu,11,3,2016,7:00 pm,Sacramento,94,Orlando,102,"17,026"
201611040BRK,2017,Fri,11,4,2016,7:30 pm,Charlotte Hornets,99,Brooklyn Nets,95,"15,775"
201611040CHI,2017,Fri,11,4,2016,8:00 pm,New York,117,Chicago,104,"22,376"
201611040DAL,2017,Fri,11,4,2016,8:30 pm,Portland,105,Dallas,95,"19,475"
201611040LAL,2017,Fri,11,4,2016,10:30 pm,Golden State,97,L.A. Lakers,117,"18,997"
201611040MEM,2017,Fri,11,4,2016,8:00 pm,L.A. Clippers,99,Memphis,88,"17,115"
201611040NOP,2017,Fri,11,4,2016,8:00 pm,Phoenix,112,New Orleans Pelicans,111,OT,"15,379"
201611040TOR,2017,Fri,11,4,2016,7:30 pm,Miami,87,Toronto,96,"19,800"
201611040UTA,2017,Fri,11,4,2016,9:00 pm,San Antonio,100,Utah,86,"19,911"
201611040WAS,2017,Fri,11,4,2016,7:00 pm,Atlanta,92,Washington,95,"14,663"
201611050ATL,2017,Sat,11,5,2016,7:30 pm,Houston,97,Atlanta,112,"16,895"
201611050DET,2017,Sat,11,5,2016,7:00 pm,Denver,86,Detroit,103,"16,218"
201611050IND,2017,Sat,11,5,2016,7:00 pm,Chicago,94,Indiana,111,"17,020"
201611050MIL,2017,Sat,11,5,2016,8:00 pm,Sacramento,91,Milwaukee,117,"16,021"
201611050OKC,2017,Sat,11,5,2016,6:00 pm,Minnesota,92,Oklahoma City Thunder,112,"18,203"
201611050ORL,2017,Sat,11,5,2016,7:00 pm,Washington,86,Orlando,88,"18,846"
201611050PHI,2017,Sat,11,5,2016,7:00 pm,Cleveland,102,Philadelphia,101,"20,497"
201611050SAS,2017,Sat,11,5,2016,8:30 pm,L.A. Clippers,116,San Antonio,92,"18,418"
201611060BOS,2017,Sun,11,6,2016,7:30 pm,Denver,123,Boston,107,"17,452"
201611060DAL,2017,Sun,11,6,2016,7:00 pm,Milwaukee,75,Dallas,86,OT,"19,345"
201611060LAL,2017,Sun,11,6,2016,9:30 pm,Phoenix,108,L.A. Lakers,119,"18,997"
201611060MEM,2017,Sun,11,6,2016,3:30 pm,Portland,100,Memphis,94,"16,233"
201611060NYK,2017,Sun,11,6,2016,12:00 pm,Utah,114,New York,109,"19,812"
201611060TOR,2017,Sun,11,6,2016,6:00 pm,Sacramento,96,Toronto,91,"19,800"
201611070CHI,2017,Mon,11,7,2016,8:00 pm,Orlando,80,Chicago,112,"21,320"
201611070CHO,2017,Mon,11,7,2016,7:00 pm,Indiana,100,Charlotte Hornets,122,"16,880"
201611070GSW,2017,Mon,11,7,2016,10:30 pm,New Orleans Pelicans,106,Golden State,116,"19,596"
201611070LAC,2017,Mon,11,7,2016,10:30 pm,Detroit,82,L.A. Clippers,114,"19,060"
201611070OKC,2017,Mon,11,7,2016,8:00 pm,Miami,85,Oklahoma City Thunder,97,"18,203"
201611070PHI,2017,Mon,11,7,2016,7:00 pm,Utah,109,Philadelphia,84,"14,168"
201611070WAS,2017,Mon,11,7,2016,7:00 pm,Houston,114,Washington,106,"13,173"
201611080BRK,2017,Tue,11,8,2016,7:30 pm,Minnesota,110,Brooklyn Nets,119,"13,610"
201611080CLE,2017,Tue,11,8,2016,7:00 pm,Atlanta,110,Cleveland,106,"20,562"
201611080LAL,2017,Tue,11,8,2016,10:30 pm,Dallas,109,L.A. Lakers,97,"18,997"
201611080MEM,2017,Tue,11,8,2016,8:00 pm,Denver,107,Memphis,108,"15,109"
201611080POR,2017,Tue,11,8,2016,10:00 pm,Phoenix,121,Portland,124,"19,239"
201611080SAC,2017,Tue,11,8,2016,10:30 pm,New Orleans Pelicans,94,Sacramento,102,"17,608"
