YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2012,06,01,Miami,Boston,177.5,179.5,178.75
2012,06,02,San Antonio,Oklahoma City,201.5,202.5,202.125
2012,06,03,Miami,Boston,179.5,181.5,180.375
2012,06,04,Oklahoma City,San Antonio,201.5,202.5,201.625
2012,06,05,Boston,Miami,179.5,181.5,179.75
2012,06,06,San Antonio,Oklahoma City,203.5,204.5,203.625
2012,06,07,Miami,Boston,180.5,181.5,180.75
2012,06,09,Boston,Miami,178.5,180.5,179.375
2012,06,12,Miami,Oklahoma City,195.5,196.5,195.625
2012,06,14,Miami,Oklahoma City,195.5,196.5,195.625
2012,06,17,Oklahoma City,Miami,193.5,194.5,193.625
2012,06,19,Oklahoma City,Miami,192.5,194.5,192.75
2012,06,21,Oklahoma City,Miami,193.5,195.5,194.5
2012,05,01,Boston,Atlanta,172.5,173.5,172.875
2012,05,01,Philadelphia,Chicago,175.5,176.5,176.25
2012,05,01,Denver,L.A. Lakers,202.5,202.5,202.5
2012,05,02,Utah,San Antonio,202.5,203.5,202.625
2012,05,02,Indiana,Orlando,183.5,184.5,184.0
2012,05,02,L.A. Clippers,Memphis,184.5,185.5,184.625
2012,05,03,Miami,New York,186.5,186.5,186.5
2012,05,03,Oklahoma City,Dallas,193.5,194.5,193.625
2012,05,04,Atlanta,Boston,173.5,174.5,173.625
2012,05,04,Chicago,Philadelphia,176.5,177.5,176.75
2012,05,04,L.A. Lakers,Denver,204.5,206.5,205.375
2012,05,05,Indiana,Orlando,179.5,179.5,179.5
2012,05,05,Memphis,L.A. Clippers,184.5,185.5,184.625
2012,05,05,Oklahoma City,Dallas,192.5,193.5,193.0
2012,05,05,San Antonio,Utah,200.5,201.5,200.625
2012,05,06,Chicago,Philadelphia,171.5,172.5,172.125
2012,05,06,Miami,New York,184.5,186.5,184.75
2012,05,06,Atlanta,Boston,172.5,172.5,172.5
2012,05,06,L.A. Lakers,Denver,202.5,202.5,202.5
2012,05,07,San Antonio,Utah,199.5,199.5,199.5
2012,05,07,Memphis,L.A. Clippers,183.5,183.5,183.5
2012,05,08,Orlando,Indiana,179.5,180.5,179.625
2012,05,08,Boston,Atlanta,175.5,175.5,175.5
2012,05,08,Philadelphia,Chicago,172.5,172.5,172.5
2012,05,08,Denver,L.A. Lakers,196.5,197.5,196.875
2012,05,09,New York,Miami,182.5,183.5,183.25
2012,05,09,L.A. Clippers,Memphis,182.5,183.5,183.375
2012,05,10,Chicago,Philadelphia,170.5,170.5,170.5
2012,05,10,Atlanta,Boston,173.5,174.5,173.75
2012,05,10,L.A. Lakers,Denver,196.5,196.5,196.5
2012,05,11,Memphis,L.A. Clippers,178.5,179.5,178.625
2012,05,12,Philadelphia,Boston,171.5,171.5,171.5
2012,05,12,Denver,L.A. Lakers,193.5,193.5,193.5
2012,05,13,L.A. Clippers,Memphis,176.5,177.5,176.625
2012,05,13,Indiana,Miami,186.5,187.5,186.75
2012,05,14,Philadelphia,Boston,174.5,175.5,175.125
2012,05,14,L.A. Lakers,Oklahoma City,192.5,193.5,192.75
2012,05,15,Indiana,Miami,186.5,187.5,187.125
2012,05,15,L.A. Clippers,San Antonio,192.5,192.5,192.5
2012,05,16,Boston,Philadelphia,171.5,172.5,171.625
2012,05,16,L.A. Lakers,Oklahoma City,196.5,196.5,196.5
2012,05,17,Miami,Indiana,180.5,181.5,180.625
2012,05,17,L.A. Clippers,San Antonio,194.5,195.5,195.25
2012,05,18,Boston,Philadelphia,174.5,174.5,174.5
2012,05,18,Oklahoma City,L.A. Lakers,189.5,190.5,189.625
2012,05,19,San Antonio,L.A. Clippers,192.5,193.5,192.875
2012,05,19,Oklahoma City,L.A. Lakers,188.5,188.5,188.5
2012,05,20,Miami,Indiana,179.5,179.5,179.5
2012,05,20,San Antonio,L.A. Clippers,192.5,193.5,193.375
2012,05,21,Philadelphia,Boston,172.5,173.5,173.375
2012,05,21,L.A. Lakers,Oklahoma City,190.5,191.5,190.625
2012,05,22,Indiana,Miami,180.5,181.5,180.625
2012,05,23,Boston,Philadelphia,175.5,176.5,175.625
2012,05,24,Miami,Indiana,180.5,182.5,181.0
2012,05,26,Philadelphia,Boston,170.5,172.5,171.0
2012,05,27,Oklahoma City,San Antonio,204.5,205.5,204.625
2012,05,28,Boston,Miami,178.5,179.5,178.75
2012,05,29,Oklahoma City,San Antonio,203.5,204.5,203.625
2012,05,30,Boston,Miami,178.5,179.5,178.625
2012,05,31,San Antonio,Oklahoma City,206.5,206.5,206.5
2012,01,01,Boston,Washington,186.5,187.5,187.375
2012,01,01,Toronto,Orlando,185.5,186.5,186.125
2012,01,01,Charlotte,Miami,196.5,197.5,197.375
2012,01,01,Brooklyn,Cleveland,185.5,187.5,186.5
2012,01,01,Dallas,Minnesota,201.5,202.5,201.625
2012,01,01,Memphis,Chicago,187.5,188.5,187.75
2012,01,01,L.A. Lakers,Denver,198.5,199.5,199.375
2012,01,01,New Orleans,Sacramento,183.5,184.5,183.625
2012,01,01,Portland,L.A. Clippers,199.5,199.5,199.5
2012,01,02,Golden State,Phoenix,193.5,193.5,193.5
2012,01,02,Toronto,New York,199.5,200.5,200.375
2012,01,02,Washington,Boston,187.5,188.5,187.625
2012,01,02,Indiana,Brooklyn,180.5,180.5,180.5
2012,01,02,Atlanta,Miami,193.5,194.5,194.125
2012,01,02,Orlando,Detroit,184.5,184.5,184.5
2012,01,02,San Antonio,Minnesota,196.5,197.5,196.625
2012,01,02,Oklahoma City,Dallas,196.5,196.5,196.5
