YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2013,11,01,Cleveland,Charlotte,187.5,188.5,188.0
2013,11,01,New Orleans,Orlando,193.5,194.5,193.875
2013,11,01,Philadelphia,Washington,201.5,201.5,201.5
2013,11,01,Toronto,Atlanta,195.5,195.5,195.5
2013,11,01,Milwaukee,Boston,185.5,186.5,185.75
2013,11,01,Dallas,Houston,206.5,208.5,207.5
2013,11,01,Detroit,Memphis,189.5,189.5,189.5
2013,11,01,Oklahoma City,Minnesota,201.5,202.5,201.625
2013,11,01,Miami,Brooklyn,194.5,195.5,195.25
2013,11,01,Portland,Denver,198.5,198.5,198.5
2013,11,01,Utah,Phoenix,195.5,196.5,195.625
2013,11,01,L.A. Clippers,Sacramento,203.5,203.5,203.5
2013,11,01,San Antonio,L.A. Lakers,208.5,209.5,208.75
2013,11,02,Cleveland,Indiana,188.5,188.5,188.5
2013,11,02,Chicago,Philadelphia,194.5,195.5,194.875
2013,11,02,Charlotte,New Orleans,184.5,184.5,184.5
2013,11,02,Memphis,Dallas,194.5,194.5,194.5
2013,11,02,Toronto,Milwaukee,190.5,190.5,190.5
2013,11,02,Houston,Utah,199.5,199.5,199.5
2013,11,02,San Antonio,Portland,198.5,198.5,198.5
2013,11,02,Sacramento,Golden State,207.5,208.5,208.0
2013,11,03,Boston,Detroit,192.5,193.5,193.25
2013,11,03,Washington,Miami,199.5,200.5,199.875
2013,11,03,Brooklyn,Orlando,194.5,195.5,194.875
2013,11,03,Phoenix,Oklahoma City,198.5,199.5,198.5
2013,11,03,Minnesota,New York,195.5,195.5,195.5
2013,11,03,Atlanta,L.A. Lakers,205.5,206.5,205.5
2013,11,04,Minnesota,Cleveland,197.5,198.5,198.375
2013,11,04,Golden State,Philadelphia,211.5,212.5,212.0
2013,11,04,Boston,Memphis,184.5,186.5,185.5
2013,11,04,Houston,L.A. Clippers,211.5,212.5,211.625
2013,11,05,Miami,Toronto,195.5,195.5,195.5
2013,11,05,Utah,Brooklyn,191.5,191.5,191.5
2013,11,05,Indiana,Detroit,185.5,186.5,186.125
2013,11,05,Charlotte,New York,185.5,185.5,185.5
2013,11,05,Phoenix,New Orleans,192.5,193.5,192.75
2013,11,05,L.A. Lakers,Dallas,213.5,213.5,213.5
2013,11,05,San Antonio,Denver,203.5,204.5,203.625
2013,11,05,Houston,Portland,207.5,208.5,208.5
2013,11,05,Atlanta,Sacramento,199.5,200.5,200.5
