YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2014,11,01,Miami,Philadelphia,195.5,196.5,195.78571428571428
2014,11,01,Toronto,Orlando,195.5,196.5,196.0
2014,11,01,Memphis,Charlotte,186.5,186.5,186.5
2014,11,02,Sacramento,L.A. Clippers,205.5,205.5,205.5
2014,11,02,Toronto,Miami,197.5,197.5,197.5
2014,11,02,Charlotte,New York,184.5,185.5,185.25
2014,11,02,Golden State,Portland,208.5,209.5,208.75
2014,11,03,Houston,Philadelphia,199.5,200.5,200.25
2014,11,03,Oklahoma City,Brooklyn,192.5,193.5,192.875
2014,11,03,New Orleans,Memphis,186.5,187.5,187.125
2014,11,03,Boston,Dallas,207.5,209.5,208.375
2014,11,03,Sacramento,Denver,201.5,202.5,201.75
2014,11,03,Utah,L.A. Clippers,203.5,204.5,203.5
2014,11,04,Milwaukee,Indiana,191.5,193.5,192.375
2014,11,04,Houston,Miami,204.5,205.5,205.0
2014,11,04,Washington,New York,190.5,192.5,190.875
2014,11,04,Oklahoma City,Toronto,192.5,193.5,192.875
2014,11,04,Charlotte,New Orleans,189.5,190.5,190.0
2014,11,04,Orlando,Chicago,188.5,189.5,189.25
2014,11,04,Cleveland,Portland,207.5,210.5,208.625
2014,11,04,Phoenix,L.A. Lakers,212.5,213.5,213.125
2014,11,05,Orlando,Philadelphia,195.5,196.5,196.25
2014,11,05,Miami,Charlotte,190.5,190.5,190.5
2014,11,05,New York,Detroit,186.5,186.5,186.5
2014,11,05,Toronto,Boston,203.5,203.5,203.5
2014,11,05,Minnesota,Brooklyn,208.5,209.5,208.625
2014,11,05,Chicago,Milwaukee,191.5,192.5,191.625
2014,11,05,Indiana,Washington,187.5,187.5,187.5
2014,11,05,Atlanta,San Antonio,201.5,202.5,201.875
2014,11,05,Memphis,Phoenix,192.5,193.5,192.75
2014,11,05,Cleveland,Utah,206.5,207.5,207.25
2014,11,05,Denver,Sacramento,205.5,206.5,206.375
2014,11,05,L.A. Clippers,Golden State,211.5,211.5,211.5
2014,11,06,San Antonio,Houston,196.5,197.5,196.625
2014,11,06,Dallas,Portland,209.5,210.5,210.0
2014,11,07,Minnesota,Orlando,203.5,203.5,203.5
2014,11,07,Chicago,Philadelphia,188.5,189.5,189.125
2014,11,07,Atlanta,Charlotte,193.5,194.5,194.375
2014,11,07,Washington,Toronto,195.5,195.5,195.5
2014,11,07,Indiana,Boston,190.5,193.5,192.125
2014,11,07,New York,Brooklyn,192.5,193.5,193.0
2014,11,07,Milwaukee,Detroit,194.5,195.5,194.92857142857142
2014,11,07,Memphis,Oklahoma City,181.5,183.5,182.375
2014,11,07,Dallas,Utah,205.5,205.5,205.5
2014,11,07,Sacramento,Phoenix,208.5,209.5,209.07142857142858
2014,11,07,Cleveland,Denver,210.5,211.5,211.21428571428572
2014,11,08,Portland,L.A. Clippers,204.5,205.5,205.0
2014,11,08,Washington,Indiana,182.5,183.5,183.125
2014,11,08,Minnesota,Miami,205.5,205.5,205.5
2014,11,08,New York,Atlanta,194.5,195.5,195.0
2014,11,08,Boston,Chicago,193.5,194.5,194.375
2014,11,08,Golden State,Houston,208.5,209.5,209.375
2014,11,08,Memphis,Milwaukee,186.5,187.5,186.875
2014,11,08,New Orleans,San Antonio,195.5,195.5,195.5
2014,11,09,Orlando,Brooklyn,197.5,198.5,198.375
2014,11,09,Utah,Detroit,192.5,192.5,192.5
2014,11,09,Philadelphia,Toronto,204.5,205.5,205.25
2014,11,09,Sacramento,Oklahoma City,190.5,191.5,190.625
2014,11,09,Miami,Dallas,205.5,205.5,205.5
2014,11,09,Golden State,Phoenix,208.5,210.5,209.5
2014,11,09,Denver,Portland,207.5,207.5,207.5
2014,11,09,Charlotte,L.A. Lakers,202.5,202.5,202.5
2014,11,10,Utah,Indiana,186.5,187.5,187.125
2014,11,10,New Orleans,Cleveland,201.5,202.5,202.25
2014,11,10,Atlanta,New York,196.5,197.5,197.375
2014,11,10,Detroit,Chicago,190.5,191.5,190.5
2014,11,10,San Antonio,L.A. Clippers,202.5,204.5,203.5
2014,11,11,Orlando,Toronto,198.5,198.5,198.5
2014,11,11,Oklahoma City,Milwaukee,191.5,191.5,191.5
2014,11,11,L.A. Lakers,Memphis,196.5,197.5,197.5
2014,11,11,Sacramento,Dallas,205.5,206.5,206.125
2014,11,11,Charlotte,Portland,191.5,192.5,192.375
2014,11,11,San Antonio,Golden State,200.5,201.5,200.875
2014,11,12,Detroit,Washington,191.5,192.5,191.875
2014,11,12,Indiana,Miami,187.5,188.5,188.125
2014,11,12,Utah,Atlanta,197.5,197.5,197.5
2014,11,12,Orlando,New York,191.5,192.5,191.625
2014,11,12,Oklahoma City,Boston,196.5,197.5,197.25
2014,11,12,L.A. Lakers,New Orleans,209.5,210.5,210.25
2014,11,12,Portland,Denver,208.5,209.5,208.625
2014,11,12,Brooklyn,Phoenix,207.5,207.5,207.5
2014,11,12,Houston,Minnesota,201.5,207.5,206.875
2014,11,13,Sacramento,Memphis,188.5,189.5,188.625
2014,11,13,Chicago,Toronto,196.5,196.5,196.5
2014,11,13,Philadelphia,Dallas,210.5,211.5,210.625
2014,11,13,Brooklyn,Golden State,210.5,211.5,211.25
2014,11,14,Denver,Indiana,198.5,201.5,200.25
2014,11,14,Milwaukee,Orlando,194.5,195.5,194.625
2014,11,14,Utah,New York,191.5,191.5,191.5
2014,11,14,Cleveland,Boston,208.5,209.5,208.875
2014,11,14,Miami,Atlanta,193.5,193.5,193.5
2014,11,14,Detroit,Oklahoma City,188.5,189.5,188.875
2014,11,14,Minnesota,New Orleans,205.5,206.5,206.0
2014,11,14,Philadelphia,Houston,205.5,206.5,205.625
2014,11,14,Charlotte,Phoenix,200.5,200.5,200.5
2014,11,14,San Antonio,L.A. Lakers,204.5,205.5,204.875
2014,11,15,Orlando,Washington,194.5,194.5,194.5
2014,11,15,Utah,Toronto,201.5,202.5,201.625
2014,11,15,Atlanta,Cleveland,208.5,209.5,209.0
2014,11,15,Detroit,Memphis,186.5,186.5,186.5
2014,11,15,Indiana,Chicago,180.5,181.5,180.625
2014,11,15,Minnesota,Dallas,210.5,211.5,210.875
2014,11,15,Brooklyn,Portland,204.5,205.5,204.625
2014,11,15,San Antonio,Sacramento,195.5,196.5,196.25
2014,11,15,Phoenix,L.A. Clippers,210.5,211.5,211.125
2014,11,15,Charlotte,Golden State,200.5,202.5,201.625
2014,11,16,Denver,New York,203.5,204.5,203.625
2014,11,16,Milwaukee,Miami,189.5,190.5,189.75
2014,11,16,Houston,Oklahoma City,192.5,193.5,193.0
2014,11,16,Golden State,L.A. Lakers,212.5,213.5,212.875
2014,11,17,Dallas,Charlotte,198.5,200.5,199.125
2014,11,17,Denver,Cleveland,216.5,219.5,218.625
2014,11,17,Phoenix,Boston,215.5,216.5,216.375
2014,11,17,Miami,Brooklyn,195.5,196.5,196.0
2014,11,17,Orlando,Detroit,191.5,192.5,192.375
2014,11,17,Houston,Memphis,187.5,188.5,187.875
2014,11,17,Philadelphia,San Antonio,195.5,196.5,195.5
2014,11,17,New Orleans,Portland,203.5,205.5,204.75
2014,11,17,Chicago,L.A. Clippers,198.5,199.5,198.75
2014,11,18,L.A. Lakers,Atlanta,210.5,211.5,211.375
2014,11,18,New York,Milwaukee,192.5,193.5,192.625
2014,11,18,Oklahoma City,Utah,186.5,186.5,186.5
2014,11,18,New Orleans,Sacramento,204.5,204.5,204.5
2014,11,19,San Antonio,Cleveland,200.5,201.5,200.875
2014,11,19,Charlotte,Indiana,179.5,180.5,180.125
2014,11,19,Boston,Philadelphia,213.5,214.5,213.75
2014,11,19,Dallas,Washington,203.5,204.5,204.25
2014,11,19,L.A. Clippers,Orlando,203.5,205.5,203.875
2014,11,19,Memphis,Toronto,192.5,193.5,192.625
2014,11,19,Phoenix,Detroit,204.5,204.5,204.5
2014,11,19,Milwaukee,Brooklyn,198.5,199.5,199.0
2014,11,19,New York,Minnesota,201.5,202.5,202.375
2014,11,19,Oklahoma City,Denver,199.5,199.5,199.5
2014,11,19,L.A. Lakers,Houston,208.5,210.5,210.25
2014,11,20,L.A. Clippers,Miami,196.5,198.5,197.5
2014,11,20,Chicago,Sacramento,194.5,195.5,195.125
2014,11,21,Phoenix,Philadelphia,208.5,209.5,208.625
2014,11,21,Orlando,Charlotte,191.5,191.5,191.5
2014,11,21,Milwaukee,Toronto,199.5,200.5,199.875
2014,11,21,Detroit,Atlanta,197.5,197.5,197.5
2014,11,21,Brooklyn,Oklahoma City,187.5,188.5,187.625
2014,11,21,Boston,Memphis,199.5,200.5,200.125
2014,11,21,San Antonio,Minnesota,202.5,202.5,202.5
2014,11,21,Cleveland,Washington,204.5,205.5,204.75
2014,11,21,L.A. Lakers,Dallas,214.5,215.5,215.125
2014,11,21,New Orleans,Denver,213.5,214.5,214.25
2014,11,21,Chicago,Portland,194.5,195.5,195.375
2014,11,21,Utah,Golden State,207.5,207.5,207.5
2014,11,22,Phoenix,Indiana,195.5,196.5,195.5
2014,11,22,Miami,Orlando,191.5,192.5,191.625
2014,11,22,Philadelphia,New York,198.5,199.5,198.625
2014,11,22,Toronto,Cleveland,203.5,204.5,204.375
2014,11,22,Sacramento,Minnesota,211.5,212.5,212.0
2014,11,22,Dallas,Houston,204.5,206.5,205.875
2014,11,22,Washington,Milwaukee,193.5,194.5,193.5
2014,11,22,Brooklyn,San Antonio,194.5,194.5,194.5
2014,11,22,New Orleans,Utah,199.5,199.5,199.5
2014,11,23,Portland,Boston,209.5,209.5,209.5
2014,11,23,Charlotte,Miami,185.5,186.5,185.625
2014,11,23,L.A. Clippers,Memphis,198.5,198.5,198.5
2014,11,23,Golden State,Oklahoma City,196.5,197.5,196.875
2014,11,23,Denver,L.A. Lakers,220.5,221.5,221.5
2014,11,24,Portland,Philadelphia,197.5,198.5,198.375
2014,11,24,L.A. Clippers,Charlotte,198.5,199.5,199.375
2014,11,24,Orlando,Cleveland,200.5,200.5,200.5
2014,11,24,Phoenix,Toronto,209.5,210.5,210.375
2014,11,24,New York,Houston,191.5,191.5,191.5
2014,11,24,Indiana,Dallas,197.5,198.5,197.625
2014,11,24,Chicago,Utah,192.5,193.5,193.375
