GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201411010ATL,2015,Sat,11,1,2014,7:30 pm,Indiana,92,Atlanta,102,"19,118"
201411010CHO,2015,Sat,11,1,2014,7:00 pm,Memphis,71,Charlotte Hornets,69,"18,133"
201411010DET,2015,Sat,11,1,2014,7:30 pm,Brooklyn Nets,102,Detroit,90,"19,904"
201411010GSW,2015,Sat,11,1,2014,10:30 pm,L.A. Lakers,104,Golden State,127,"19,596"
201411010HOU,2015,Sat,11,1,2014,8:00 pm,Boston,90,Houston,104,"18,309"
201411010MIN,2015,Sat,11,1,2014,8:00 pm,Chicago,106,Minnesota,105,"19,356"
201411010NOP,2015,Sat,11,1,2014,7:00 pm,Dallas,109,New Orleans Pelicans,104,"14,547"
201411010OKC,2015,Sat,11,1,2014,8:00 pm,Denver,91,Oklahoma City Thunder,102,"18,203"
201411010ORL,2015,Sat,11,1,2014,7:00 pm,Toronto,108,Orlando,95,"16,141"
201411010PHI,2015,Sat,11,1,2014,7:00 pm,Miami,114,Philadelphia,96,"19,753"
201411010UTA,2015,Sat,11,1,2014,9:00 pm,Phoenix,91,Utah,118,"17,721"
201411010WAS,2015,Sat,11,1,2014,7:00 pm,Milwaukee,97,Washington,108,"17,992"
201411020LAC,2015,Sun,11,2,2014,3:30 pm,Sacramento,98,L.A. Clippers,92,"19,060"
201411020MIA,2015,Sun,11,2,2014,6:00 pm,Toronto,102,Miami,107,"19,666"
201411020NYK,2015,Sun,11,2,2014,7:30 pm,Charlotte Hornets,93,New York,96,"19,812"
201411020POR,2015,Sun,11,2,2014,9:00 pm,Golden State,95,Portland,90,"19,441"
201411030BRK,2015,Mon,11,3,2014,7:30 pm,Oklahoma City Thunder,85,Brooklyn Nets,116,"17,732"
201411030DAL,2015,Mon,11,3,2014,8:30 pm,Boston,113,Dallas,118,"19,948"
201411030DEN,2015,Mon,11,3,2014,9:00 pm,Sacramento,110,Denver,105,"12,516"
201411030LAC,2015,Mon,11,3,2014,10:30 pm,Utah,101,L.A. Clippers,107,"19,060"
201411030MEM,2015,Mon,11,3,2014,8:00 pm,New Orleans Pelicans,81,Memphis,93,"15,302"
201411030PHI,2015,Mon,11,3,2014,7:00 pm,Houston,104,Philadelphia,93,"12,896"
201411040CHI,2015,Tue,11,4,2014,8:00 pm,Orlando,90,Chicago,98,"21,809"
201411040IND,2015,Tue,11,4,2014,7:00 pm,Milwaukee,87,Indiana,81,"15,012"
201411040LAL,2015,Tue,11,4,2014,10:30 pm,Phoenix,112,L.A. Lakers,106,"18,997"
201411040MIA,2015,Tue,11,4,2014,7:30 pm,Houston,108,Miami,91,"19,666"
201411040NOP,2015,Tue,11,4,2014,8:00 pm,Charlotte Hornets,91,New Orleans Pelicans,100,"14,840"
201411040NYK,2015,Tue,11,4,2014,7:30 pm,Washington,98,New York,83,"19,812"
201411040POR,2015,Tue,11,4,2014,10:00 pm,Cleveland,82,Portland,101,"19,441"
201411040TOR,2015,Tue,11,4,2014,7:30 pm,Oklahoma City Thunder,88,Toronto,100,"18,877"
201411050BOS,2015,Wed,11,5,2014,7:30 pm,Toronto,110,Boston,107,"16,249"
201411050BRK,2015,Wed,11,5,2014,7:30 pm,Minnesota,98,Brooklyn Nets,91,"16,302"
201411050CHO,2015,Wed,11,5,2014,7:00 pm,Miami,89,Charlotte Hornets,96,"15,874"
201411050DET,2015,Wed,11,5,2014,7:30 pm,New York,95,Detroit,98,"11,915"
201411050GSW,2015,Wed,11,5,2014,10:30 pm,L.A. Clippers,104,Golden State,121,"19,596"
201411050MIL,2015,Wed,11,5,2014,8:00 pm,Chicago,95,Milwaukee,86,"13,098"
201411050PHI,2015,Wed,11,5,2014,7:00 pm,Orlando,91,Philadelphia,89,"12,111"
201411050PHO,2015,Wed,11,5,2014,9:00 pm,Memphis,102,Phoenix,91,"15,377"
201411050SAC,2015,Wed,11,5,2014,10:00 pm,Denver,109,Sacramento,131,"14,539"
201411050SAS,2015,Wed,11,5,2014,8:30 pm,Atlanta,92,San Antonio,94,"18,581"
201411050UTA,2015,Wed,11,5,2014,9:00 pm,Cleveland,100,Utah,102,"19,911"
201411050WAS,2015,Wed,11,5,2014,8:00 pm,Indiana,94,Washington,96,OT,"15,268"
201411060HOU,2015,Thu,11,6,2014,8:00 pm,San Antonio,81,Houston,98,"18,311"
201411060POR,2015,Thu,11,6,2014,10:30 pm,Dallas,87,Portland,108,"19,441"
201411070BOS,2015,Fri,11,7,2014,7:30 pm,Indiana,98,Boston,101,"17,122"
201411070BRK,2015,Fri,11,7,2014,7:30 pm,New York,99,Brooklyn Nets,110,"17,732"
201411070CHO,2015,Fri,11,7,2014,7:00 pm,Atlanta,119,Charlotte Hornets,122,2OT,"15,891"
201411070DEN,2015,Fri,11,7,2014,10:30 pm,Cleveland,110,Denver,101,"19,623"
201411070DET,2015,Fri,11,7,2014,7:30 pm,Milwaukee,95,Detroit,98,"16,102"
201411070OKC,2015,Fri,11,7,2014,8:00 pm,Memphis,91,Oklahoma City Thunder,89,"18,203"
201411070ORL,2015,Fri,11,7,2014,7:00 pm,Minnesota,103,Orlando,112,OT,"16,379"
201411070PHI,2015,Fri,11,7,2014,7:00 pm,Chicago,118,Philadelphia,115,"16,820"
201411070PHO,2015,Fri,11,7,2014,9:00 pm,Sacramento,114,Phoenix,112,2OT,"15,476"
201411070TOR,2015,Fri,11,7,2014,7:30 pm,Washington,84,Toronto,103,"19,800"
201411070UTA,2015,Fri,11,7,2014,9:00 pm,Dallas,105,Utah,82,"18,419"
201411080ATL,2015,Sat,11,8,2014,7:30 pm,New York,96,Atlanta,103,"17,521"
201411080CHI,2015,Sat,11,8,2014,8:00 pm,Boston,106,Chicago,101,"22,104"
