GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
200611080SAC,2007,Wed,11,8,2006,7:30 pm,Detroit,86,Sacramento,99
200611080SAS,2007,Wed,11,8,2006,7:00 pm,Phoenix,106,San Antonio,111,OT
200611080TOR,2007,Wed,11,8,2006,7:00 pm,Philadelphia,104,Toronto,106
200611080WAS,2007,Wed,11,8,2006,7:00 pm,Indiana,91,Washington,117
200611090CLE,2007,Thu,11,9,2006,8:00 pm,Chicago,94,Cleveland,113
200611090GSW,2007,Thu,11,9,2006,7:30 pm,New Orleans,116,Golden State,121
200611090PHO,2007,Thu,11,9,2006,8:30 pm,Dallas,119,Phoenix,112
200611100BOS,2007,Fri,11,10,2006,7:30 pm,Utah,107,Boston,100
200611100CHA,2007,Fri,11,10,2006,7:00 pm,Seattle,99,Charlotte,85
200611100HOU,2007,Fri,11,10,2006,7:30 pm,New York,94,Houston,103
200611100IND,2007,Fri,11,10,2006,7:00 pm,Orlando,83,Indiana,93
200611100LAL,2007,Fri,11,10,2006,7:30 pm,Detroit,97,L.A. Lakers,83
200611100NJN,2007,Fri,11,10,2006,8:00 pm,Miami,113,Brooklyn,106
200611100PHI,2007,Fri,11,10,2006,7:00 pm,Denver,108,Philadelphia,101
200611100POR,2007,Fri,11,10,2006,7:00 pm,New Orleans,91,Portland,92
200611100TOR,2007,Fri,11,10,2006,7:00 pm,Atlanta,111,Toronto,102
200611100WAS,2007,Fri,11,10,2006,7:00 pm,Milwaukee,111,Washington,116
200611110ATL,2007,Sat,11,11,2006,7:00 pm,Seattle,113,Atlanta,112,OT
200611110CHI,2007,Sat,11,11,2006,7:30 pm,Indiana,80,Chicago,89
200611110CLE,2007,Sat,11,11,2006,7:30 pm,Boston,93,Cleveland,94
200611110GSW,2007,Sat,11,11,2006,7:30 pm,Detroit,79,Golden State,111
200611110MIL,2007,Sat,11,11,2006,7:30 pm,Utah,113,Milwaukee,111
200611110MIN,2007,Sat,11,11,2006,7:00 pm,Orlando,109,Minnesota,98
200611110PHO,2007,Sat,11,11,2006,7:00 pm,Memphis,87,Phoenix,96
200611110SAS,2007,Sat,11,11,2006,7:00 pm,New York,92,San Antonio,100
200611120CHA,2007,Sun,11,12,2006,6:00 pm,Denver,108,Charlotte,101
200611120LAC,2007,Sun,11,12,2006,12:30 pm,New Orleans,76,L.A. Clippers,92
200611120LAL,2007,Sun,11,12,2006,6:30 pm,Memphis,81,L.A. Lakers,91
200611120MIA,2007,Sun,11,12,2006,8:00 pm,Houston,94,Miami,72
