GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201211010SAS,2013,Thu,11,1,2012,8:30 pm,Oklahoma City Thunder,84,San Antonio,86,"18,581"
201211020ATL,2013,Fri,11,2,2012,7:30 pm,Houston,109,Atlanta,102,"18,238"
201211020BOS,2013,Fri,11,2,2012,7:30 pm,Milwaukee,99,Boston,88,"18,624"
201211020CHA,2013,Fri,11,2,2012,7:00 pm,Indiana,89,Charlotte,90,"19,124"
201211020CLE,2013,Fri,11,2,2012,7:30 pm,Chicago,115,Cleveland,86,"20,562"
201211020GSW,2013,Fri,11,2,2012,7:30 pm,Memphis,104,Golden State,94,"19,596"
201211020LAL,2013,Fri,11,2,2012,7:30 pm,L.A. Clippers,105,L.A. Lakers,95,"18,997"
201211020MIN,2013,Fri,11,2,2012,7:00 pm,Sacramento,80,Minnesota,92,"19,356"
201211020NOH,2013,Fri,11,2,2012,7:00 pm,Utah,86,New Orleans Hornets,88,"14,147"
201211020NYK,2013,Fri,11,2,2012,8:00 pm,Miami,84,New York,104,"19,033"
201211020OKC,2013,Fri,11,2,2012,7:00 pm,Portland,92,Oklahoma City Thunder,106,"18,203"
201211020ORL,2013,Fri,11,2,2012,7:00 pm,Denver,89,Orlando,102,"18,846"
201211020PHO,2013,Fri,11,2,2012,7:00 pm,Detroit,89,Phoenix,92,"15,107"
201211030BRK,2013,Sat,11,3,2012,7:30 pm,Toronto,100,Brooklyn Nets,107,"17,732"
201211030CHI,2013,Sat,11,3,2012,7:00 pm,New Orleans Hornets,89,Chicago,82,"21,758"
201211030DAL,2013,Sat,11,3,2012,7:30 pm,Charlotte,99,Dallas,126,"19,490"
201211030HOU,2013,Sat,11,3,2012,7:00 pm,Portland,95,Houston,85,OT,"18,140"
201211030IND,2013,Sat,11,3,2012,7:00 pm,Sacramento,98,Indiana,106,2OT,"18,165"
201211030LAC,2013,Sat,11,3,2012,7:30 pm,Golden State,114,L.A. Clippers,110,"19,060"
201211030MIA,2013,Sat,11,3,2012,7:30 pm,Denver,116,Miami,119,"20,104"
201211030MIL,2013,Sat,11,3,2012,7:30 pm,Cleveland,102,Milwaukee,105,"17,086"
201211030SAS,2013,Sat,11,3,2012,7:30 pm,Utah,100,San Antonio,110,"18,581"
201211030WAS,2013,Sat,11,3,2012,7:00 pm,Boston,89,Washington,86,"20,308"
201211040LAL,2013,Sun,11,4,2012,6:30 pm,Detroit,79,L.A. Lakers,108,"18,997"
201211040NYK,2013,Sun,11,4,2012,12:00 pm,Philadelphia,84,New York,100,"19,033"
201211040OKC,2013,Sun,11,4,2012,6:00 pm,Atlanta,104,Oklahoma City Thunder,95,"18,203"
201211040ORL,2013,Sun,11,4,2012,6:00 pm,Phoenix,94,Orlando,115,"17,022"
201211040TOR,2013,Sun,11,4,2012,6:00 pm,Minnesota,86,Toronto,105,"16,754"
201211050BRK,2013,Mon,11,5,2012,7:30 pm,Minnesota,107,Brooklyn Nets,96,"14,017"
201211050DAL,2013,Mon,11,5,2012,7:30 pm,Portland,91,Dallas,114,"19,521"
