YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2015,11,01,Atlanta,Charlotte,195.5,195.5,195.5
2015,11,01,San Antonio,Boston,202.5,203.5,202.875
2015,11,01,Houston,Miami,207.5,207.5,207.5
2015,11,01,Milwaukee,Toronto,199.5,201.5,200.875
2015,11,01,Orlando,Chicago,198.5,199.5,199.375
2015,11,01,Denver,Oklahoma City,212.5,213.5,213.25
2015,11,01,Dallas,L.A. Lakers,212.5,214.5,213.375
2015,11,02,Cleveland,Philadelphia,194.5,195.5,195.375
2015,11,02,Milwaukee,Brooklyn,194.5,194.5,194.5
2015,11,02,San Antonio,New York,202.5,203.5,202.875
2015,11,02,Oklahoma City,Houston,217.5,217.5,217.5
2015,11,02,Portland,Minnesota,203.5,204.5,204.375
2015,11,02,Phoenix,L.A. Clippers,207.5,208.5,207.875
2015,11,02,Memphis,Golden State,204.5,205.5,204.625
2015,11,03,Chicago,Charlotte,193.5,194.5,193.75
2015,11,03,Indiana,Detroit,200.5,201.5,200.625
2015,11,03,Atlanta,Miami,197.5,197.5,197.5
2015,11,03,Orlando,New Orleans,205.5,206.5,205.625
2015,11,03,Toronto,Dallas,205.5,205.5,205.5
2015,11,03,Memphis,Sacramento,196.5,197.5,196.625
2015,11,03,Denver,L.A. Lakers,203.5,204.5,203.625
2015,11,04,San Antonio,Washington,201.5,201.5,201.5
2015,11,04,Boston,Indiana,207.5,207.5,207.5
2015,11,04,New York,Cleveland,205.5,205.5,205.5
2015,11,04,Toronto,Oklahoma City,212.5,213.5,213.375
2015,11,04,Philadelphia,Milwaukee,194.5,195.5,195.125
2015,11,04,Brooklyn,Atlanta,197.5,197.5,197.5
2015,11,04,Orlando,Houston,207.5,207.5,207.5
2015,11,04,Portland,Utah,189.5,189.5,189.5
2015,11,04,Sacramento,Phoenix,209.5,209.5,209.5
2015,11,04,L.A. Clippers,Golden State,217.5,218.5,217.75
2015,11,05,Oklahoma City,Chicago,211.5,212.5,212.375
2015,11,05,Miami,Minnesota,197.5,197.5,197.5
2015,11,05,Charlotte,Dallas,200.5,201.5,200.875
2015,11,05,Utah,Denver,190.5,191.5,191.125
