GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201511010BOS,2016,Sun,11,1,2015,3:30 pm,San Antonio,95,Boston,87,"17,461"
201511010CHI,2016,Sun,11,1,2015,7:00 pm,Orlando,87,Chicago,92,"21,585"
201511010CHO,2016,Sun,11,1,2015,2:00 pm,Atlanta,94,Charlotte Hornets,92,"18,691"
201511010LAL,2016,Sun,11,1,2015,9:30 pm,Dallas,103,L.A. Lakers,93,"18,997"
201511010MIA,2016,Sun,11,1,2015,6:00 pm,Houston,89,Miami,109,"19,600"
201511010OKC,2016,Sun,11,1,2015,7:00 pm,Denver,93,Oklahoma City Thunder,117,"18,203"
201511010TOR,2016,Sun,11,1,2015,6:00 pm,Milwaukee,87,Toronto,106,"19,800"
201511020BRK,2016,Mon,11,2,2015,7:30 pm,Milwaukee,103,Brooklyn Nets,96,"12,576"
201511020GSW,2016,Mon,11,2,2015,10:30 pm,Memphis,69,Golden State,119,"19,596"
201511020HOU,2016,Mon,11,2,2015,8:00 pm,Oklahoma City Thunder,105,Houston,110,"17,224"
201511020LAC,2016,Mon,11,2,2015,10:30 pm,Phoenix,96,L.A. Clippers,102,"19,060"
201511020MIN,2016,Mon,11,2,2015,8:00 pm,Portland,106,Minnesota,101,"18,903"
201511020NYK,2016,Mon,11,2,2015,7:30 pm,San Antonio,94,New York,84,"19,812"
201511020PHI,2016,Mon,11,2,2015,7:00 pm,Cleveland,107,Philadelphia,100,"18,094"
201511030CHO,2016,Tue,11,3,2015,7:00 pm,Chicago,105,Charlotte Hornets,130,"15,136"
201511030DAL,2016,Tue,11,3,2015,8:30 pm,Toronto,102,Dallas,91,"20,034"
201511030DET,2016,Tue,11,3,2015,7:30 pm,Indiana,94,Detroit,82,"13,325"
201511030LAL,2016,Tue,11,3,2015,10:30 pm,Denver,120,L.A. Lakers,109,"18,997"
201511030MIA,2016,Tue,11,3,2015,7:30 pm,Atlanta,98,Miami,92,"19,600"
201511030NOP,2016,Tue,11,3,2015,8:00 pm,Orlando,103,New Orleans Pelicans,94,"16,876"
201511030SAC,2016,Tue,11,3,2015,10:00 pm,Memphis,103,Sacramento,89,"17,317"
201511040ATL,2016,Wed,11,4,2015,8:00 pm,Brooklyn Nets,87,Atlanta,101,"14,044"
201511040CLE,2016,Wed,11,4,2015,8:00 pm,New York,86,Cleveland,96,"20,562"
201511040GSW,2016,Wed,11,4,2015,10:30 pm,L.A. Clippers,108,Golden State,112,"19,596"
201511040HOU,2016,Wed,11,4,2015,8:00 pm,Orlando,114,Houston,119,OT,"16,735"
201511040IND,2016,Wed,11,4,2015,7:00 pm,Boston,98,Indiana,100,"14,022"
201511040MIL,2016,Wed,11,4,2015,8:00 pm,Philadelphia,87,Milwaukee,91,"12,437"
201511040OKC,2016,Wed,11,4,2015,8:00 pm,Toronto,103,Oklahoma City Thunder,98,"18,203"
201511040PHO,2016,Wed,11,4,2015,9:00 pm,Sacramento,97,Phoenix,118,"16,497"
201511040UTA,2016,Wed,11,4,2015,9:00 pm,Portland,108,Utah,92,"19,911"
201511040WAS,2016,Wed,11,4,2015,7:00 pm,San Antonio,99,Washington,102,"17,721"
201511050CHI,2016,Thu,11,5,2015,8:00 pm,Oklahoma City Thunder,98,Chicago,104,"21,861"
201511050DAL,2016,Thu,11,5,2015,8:30 pm,Charlotte Hornets,108,Dallas,94,"19,635"
201511050DEN,2016,Thu,11,5,2015,9:00 pm,Utah,96,Denver,84,"9,906"
201511050MIN,2016,Thu,11,5,2015,8:00 pm,Miami,96,Minnesota,84,"11,794"
201511050POR,2016,Thu,11,5,2015,10:30 pm,Memphis,96,Portland,115,"19,393"
201511060BOS,2016,Fri,11,6,2015,7:30 pm,Washington,98,Boston,118,"18,624"
201511060BRK,2016,Fri,11,6,2015,7:30 pm,L.A. Lakers,104,Brooklyn Nets,98,"17,732"
201511060CLE,2016,Fri,11,6,2015,7:30 pm,Philadelphia,102,Cleveland,108,"20,562"
201511060GSW,2016,Fri,11,6,2015,10:30 pm,Denver,104,Golden State,119,"19,596"
201511060IND,2016,Fri,11,6,2015,8:00 pm,Miami,87,Indiana,90,"16,914"
201511060NOP,2016,Fri,11,6,2015,8:00 pm,Atlanta,121,New Orleans Pelicans,115,"16,983"
201511060NYK,2016,Fri,11,6,2015,7:30 pm,Milwaukee,99,New York,92,"19,812"
201511060ORL,2016,Fri,11,6,2015,7:00 pm,Toronto,87,Orlando,92,"16,578"
201511060PHO,2016,Fri,11,6,2015,9:30 pm,Detroit,100,Phoenix,92,"16,676"
201511060SAC,2016,Fri,11,6,2015,10:30 pm,Houston,116,Sacramento,110,"16,983"
201511070ATL,2016,Sat,11,7,2015,7:30 pm,Washington,99,Atlanta,114,"18,047"
201511070CHI,2016,Sat,11,7,2015,6:00 pm,Minnesota,102,Chicago,93,OT,"21,988"
201511070DAL,2016,Sat,11,7,2015,8:30 pm,New Orleans Pelicans,98,Dallas,107,"20,454"
201511070LAC,2016,Sat,11,7,2015,10:30 pm,Houston,109,L.A. Clippers,105,"19,361"
201511070MIL,2016,Sat,11,7,2015,8:30 pm,Brooklyn Nets,86,Milwaukee,94,"15,228"
