YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2012,11,01,Oklahoma City,San Antonio,204.5,204.5,204.5
2012,11,02,Indiana,Charlotte,182.5,183.5,183.125
2012,11,02,Denver,Orlando,197.5,198.5,198.25
2012,11,02,Milwaukee,Boston,196.5,197.5,196.875
2012,11,02,Houston,Atlanta,202.5,203.5,203.375
2012,11,02,Chicago,Cleveland,183.5,184.5,183.625
2012,11,02,Miami,New York,198.5,199.5,199.0
2012,11,02,Utah,New Orleans,190.5,191.5,191.33333333333334
2012,11,02,Portland,Oklahoma City,203.5,205.5,204.66666666666666
2012,11,02,Sacramento,Minnesota,194.5,195.5,195.5
2012,11,02,Detroit,Phoenix,195.5,195.5,195.5
2012,11,02,L.A. Clippers,L.A. Lakers,191.5,192.5,191.625
2012,11,02,Memphis,Golden State,191.5,192.5,192.5
2012,11,03,Boston,Washington,191.5,191.5,191.5
2012,11,03,Sacramento,Indiana,189.5,190.5,189.625
2012,11,03,Toronto,Brooklyn,193.5,194.5,194.375
2012,11,03,Denver,Miami,199.5,199.5,199.5
2012,11,03,New Orleans,Chicago,181.5,182.5,181.66666666666666
2012,11,03,Portland,Houston,206.5,206.5,206.5
2012,11,03,Cleveland,Milwaukee,197.5,198.5,198.0
2012,11,03,Charlotte,Dallas,187.5,187.5,187.5
2012,11,03,Utah,San Antonio,201.5,201.5,201.5
2012,11,03,Golden State,L.A. Clippers,197.5,198.5,197.75
2012,11,04,Philadelphia,New York,187.5,187.5,187.5
2012,11,04,Phoenix,Orlando,192.5,193.5,193.25
2012,11,04,Minnesota,Toronto,188.5,189.5,189.375
2012,11,04,Atlanta,Oklahoma City,198.5,199.5,199.21428571428572
2012,11,04,Detroit,L.A. Lakers,189.5,190.5,190.25
2012,11,05,New York,Philadelphia,183.5,184.5,184.21428571428572
2012,11,05,Minnesota,Brooklyn,194.5,195.5,194.78571428571428
2012,11,05,Phoenix,Miami,202.5,203.5,202.78571428571428
2012,11,05,Utah,Memphis,195.5,195.5,195.5
2012,11,05,Portland,Dallas,198.5,198.5,198.5
2012,11,05,Indiana,San Antonio,193.5,194.5,194.0
2012,11,05,Golden State,Sacramento,197.5,198.5,198.25
2012,11,05,Cleveland,L.A. Clippers,199.5,200.5,199.75
