GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201205200LAC,2012,Sun,05,20,2012,7:30 pm,San Antonio,102,L.A. Clippers,99,"19,060"
201205210BOS,2012,Mon,05,21,2012,7:00 pm,Philadelphia,85,Boston,101,"18,624"
201205210OKC,2012,Mon,05,21,2012,8:30 pm,L.A. Lakers,90,Oklahoma City Thunder,106,"18,203"
201205220MIA,2012,Tue,05,22,2012,8:00 pm,Indiana,83,Miami,115,"20,097"
201205230PHI,2012,Wed,05,23,2012,8:00 pm,Boston,75,Philadelphia,82,"20,403"
201205240IND,2012,Thu,05,24,2012,8:00 pm,Miami,105,Indiana,93,"18,165"
201205260BOS,2012,Sat,05,26,2012,8:00 pm,Philadelphia,75,Boston,85,"18,624"
201205270SAS,2012,Sun,05,27,2012,7:30 pm,Oklahoma City Thunder,98,San Antonio,101,"18,581"
201205280MIA,2012,Mon,05,28,2012,8:30 pm,Boston,79,Miami,93,"19,912"
201205290SAS,2012,Tue,05,29,2012,8:00 pm,Oklahoma City Thunder,111,San Antonio,120,"18,581"
201205300MIA,2012,Wed,05,30,2012,8:30 pm,Boston,111,Miami,115,OT,"19,973"
201205310OKC,2012,Thu,05,31,2012,8:00 pm,San Antonio,82,Oklahoma City Thunder,102,"18,203"
201201010CHI,2012,Sun,01,1,2012,7:00 pm,Memphis,64,Chicago,104,"22,763"
201201010CLE,2012,Sun,01,1,2012,6:00 pm,Brooklyn,82,Cleveland,98,"15,084"
201201010DEN,2012,Sun,01,1,2012,6:00 pm,L.A. Lakers,90,Denver,99,"19,155"
201201010LAC,2012,Sun,01,1,2012,6:30 pm,Portland,88,L.A. Clippers,93,"19,060"
201201010MIA,2012,Sun,01,1,2012,6:00 pm,Charlotte,90,Miami,129,"20,016"
201201010MIN,2012,Sun,01,1,2012,6:00 pm,Dallas,82,Minnesota,99,"15,115"
201201010ORL,2012,Sun,01,1,2012,6:00 pm,Toronto,96,Orlando,102,"18,846"
201201010SAC,2012,Sun,01,1,2012,6:00 pm,New Orleans Hornets,80,Sacramento,96,"13,628"
201201010WAS,2012,Sun,01,1,2012,6:00 pm,Boston,94,Washington,86,"17,458"
201201020BOS,2012,Mon,01,2,2012,7:30 pm,Washington,92,Boston,100,"18,624"
201201020DAL,2012,Mon,01,2,2012,7:30 pm,Oklahoma City Thunder,87,Dallas,100,"20,108"
201201020DEN,2012,Mon,01,2,2012,7:00 pm,Milwaukee,86,Denver,91,"14,142"
201201020DET,2012,Mon,01,2,2012,7:30 pm,Orlando,78,Detroit,89,"8,120"
201201020MIA,2012,Mon,01,2,2012,7:30 pm,Atlanta,100,Miami,92,"20,078"
201201020MIN,2012,Mon,01,2,2012,7:00 pm,San Antonio,96,Minnesota,106,"14,514"
201201020NJN,2012,Mon,01,2,2012,7:30 pm,Indiana,108,Brooklyn,94,"12,519"
201201020NYK,2012,Mon,01,2,2012,7:30 pm,Toronto,90,New York,85,"19,763"
201201020PHO,2012,Mon,01,2,2012,1:30 pm,Golden State,91,Phoenix,102,"14,793"
201201020UTA,2012,Mon,01,2,2012,7:00 pm,New Orleans Hornets,90,Utah,94,"19,159"
201201030CHI,2012,Tue,01,3,2012,7:00 pm,Atlanta,74,Chicago,76,"22,166"
201201030CLE,2012,Tue,01,3,2012,7:00 pm,Charlotte,101,Cleveland,115,"14,173"
201201030LAL,2012,Tue,01,3,2012,7:30 pm,Houston,99,L.A. Lakers,108,"18,997"
201201030MEM,2012,Tue,01,3,2012,7:00 pm,Sacramento,96,Memphis,113,"12,391"
201201030OKC,2012,Tue,01,3,2012,7:00 pm,Portland,103,Oklahoma City Thunder,93,"18,203"
201201030UTA,2012,Tue,01,3,2012,7:00 pm,Milwaukee,73,Utah,85,"17,756"
201201040BOS,2012,Wed,01,4,2012,7:30 pm,Brooklyn,70,Boston,89,"18,624"
201201040DAL,2012,Wed,01,4,2012,7:30 pm,Phoenix,89,Dallas,98,"19,885"
201201040DEN,2012,Wed,01,4,2012,7:00 pm,Sacramento,83,Denver,110,"14,562"
201201040DET,2012,Wed,01,4,2012,7:30 pm,Chicago,99,Detroit,83,"9,125"
201201040LAC,2012,Wed,01,4,2012,7:30 pm,Houston,89,L.A. Clippers,117,"19,060"
201201040MIA,2012,Wed,01,4,2012,7:30 pm,Indiana,83,Miami,118,"20,201"
201201040MIN,2012,Wed,01,4,2012,7:00 pm,Memphis,90,Minnesota,86,"17,404"
201201040NOH,2012,Wed,01,4,2012,7:00 pm,Philadelphia,101,New Orleans Hornets,93,"12,387"
201201040NYK,2012,Wed,01,4,2012,7:30 pm,Charlotte,118,New York,110,"19,763"
201201040ORL,2012,Wed,01,4,2012,7:00 pm,Washington,85,Orlando,103,"18,846"
201201040SAS,2012,Wed,01,4,2012,7:30 pm,Golden State,95,San Antonio,101,"16,751"
201201040TOR,2012,Wed,01,4,2012,7:00 pm,Cleveland,77,Toronto,92,"14,468"
201201050ATL,2012,Thu,01,5,2012,8:00 pm,Miami,116,Atlanta,109,3OT,"18,371"
201201050POR,2012,Thu,01,5,2012,7:30 pm,L.A. Lakers,96,Portland,107,"20,444"
201201050SAC,2012,Thu,01,5,2012,7:00 pm,Milwaukee,100,Sacramento,103,"11,813"
201201050SAS,2012,Thu,01,5,2012,7:30 pm,Dallas,71,San Antonio,93,"18,581"
201201060BOS,2012,Fri,01,6,2012,7:30 pm,Indiana,87,Boston,74,"18,624"
201201060CHA,2012,Fri,01,6,2012,7:00 pm,Atlanta,102,Charlotte,96,OT,"17,827"
201201060LAL,2012,Fri,01,6,2012,7:30 pm,Golden State,90,L.A. Lakers,97,"18,997"
201201060MIN,2012,Fri,01,6,2012,7:00 pm,Cleveland,98,Minnesota,87,"16,943"
201201060NOH,2012,Fri,01,6,2012,7:00 pm,Denver,96,New Orleans Hornets,88,"13,035"
201201060OKC,2012,Fri,01,6,2012,7:00 pm,Houston,94,Oklahoma City Thunder,109,"18,203"
201201060ORL,2012,Fri,01,6,2012,8:00 pm,Chicago,97,Orlando,83,"18,912"
