GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201311010ATL,2014,Fri,11,1,2013,7:30 pm,Toronto,95,Atlanta,102,"18,118"
201311010BOS,2014,Fri,11,1,2013,7:30 pm,Milwaukee,105,Boston,98,"18,624"
201311010BRK,2014,Fri,11,1,2013,8:00 pm,Miami,100,Brooklyn Nets,101,"17,732"
201311010CHA,2014,Fri,11,1,2013,7:00 pm,Cleveland,84,Charlotte,90,"18,017"
201311010DEN,2014,Fri,11,1,2013,9:00 pm,Portland,113,Denver,98,"19,155"
201311010HOU,2014,Fri,11,1,2013,8:00 pm,Dallas,105,Houston,113,"18,142"
201311010LAL,2014,Fri,11,1,2013,10:30 pm,San Antonio,91,L.A. Lakers,85,"18,997"
201311010MEM,2014,Fri,11,1,2013,8:00 pm,Detroit,108,Memphis,111,OT,"18,119"
201311010MIN,2014,Fri,11,1,2013,8:00 pm,Oklahoma City Thunder,81,Minnesota,100,"17,433"
201311010ORL,2014,Fri,11,1,2013,7:00 pm,New Orleans Pelicans,90,Orlando,110,"18,846"
201311010PHO,2014,Fri,11,1,2013,10:00 pm,Utah,84,Phoenix,87,"14,662"
201311010SAC,2014,Fri,11,1,2013,10:00 pm,L.A. Clippers,110,Sacramento,101,"17,317"
201311010WAS,2014,Fri,11,1,2013,7:00 pm,Philadelphia,109,Washington,102,"17,160"
201311020DAL,2014,Sat,11,2,2013,8:30 pm,Memphis,99,Dallas,111,"20,262"
201311020GSW,2014,Sat,11,2,2013,10:30 pm,Sacramento,87,Golden State,98,"19,596"
201311020IND,2014,Sat,11,2,2013,7:00 pm,Cleveland,74,Indiana,89,"16,242"
201311020MIL,2014,Sat,11,2,2013,8:30 pm,Toronto,97,Milwaukee,90,"16,046"
201311020NOP,2014,Sat,11,2,2013,8:00 pm,Charlotte,84,New Orleans Pelicans,105,"15,232"
201311020PHI,2014,Sat,11,2,2013,7:30 pm,Chicago,104,Philadelphia,107,"15,782"
201311020POR,2014,Sat,11,2,2013,10:00 pm,San Antonio,105,Portland,115,"20,028"
201311020UTA,2014,Sat,11,2,2013,9:00 pm,Houston,104,Utah,93,"19,498"
201311030DET,2014,Sun,11,3,2013,6:00 pm,Boston,77,Detroit,87,"14,978"
201311030LAL,2014,Sun,11,3,2013,9:30 pm,Atlanta,103,L.A. Lakers,105,"18,997"
201311030MIA,2014,Sun,11,3,2013,6:00 pm,Washington,93,Miami,103,"19,600"
201311030NYK,2014,Sun,11,3,2013,7:30 pm,Minnesota,109,New York,100,"19,812"
201311030OKC,2014,Sun,11,3,2013,7:00 pm,Phoenix,96,Oklahoma City Thunder,103,"18,203"
201311030ORL,2014,Sun,11,3,2013,6:00 pm,Brooklyn Nets,86,Orlando,107,"15,297"
201311040CLE,2014,Mon,11,4,2013,7:00 pm,Minnesota,92,Cleveland,93,"17,892"
201311040LAC,2014,Mon,11,4,2013,10:30 pm,Houston,118,L.A. Clippers,137,"19,404"
201311040MEM,2014,Mon,11,4,2013,8:00 pm,Boston,88,Memphis,95,"15,872"
201311040PHI,2014,Mon,11,4,2013,7:00 pm,Golden State,110,Philadelphia,90,"11,089"
201311050BRK,2014,Tue,11,5,2013,7:30 pm,Utah,88,Brooklyn Nets,104,"17,732"
201311050DAL,2014,Tue,11,5,2013,8:30 pm,L.A. Lakers,104,Dallas,123,"19,670"
201311050DEN,2014,Tue,11,5,2013,9:00 pm,San Antonio,102,Denver,94,"15,721"
201311050DET,2014,Tue,11,5,2013,7:30 pm,Indiana,99,Detroit,91,"13,401"
201311050NOP,2014,Tue,11,5,2013,8:00 pm,Phoenix,104,New Orleans Pelicans,98,"13,404"
201311050NYK,2014,Tue,11,5,2013,7:30 pm,Charlotte,102,New York,97,"19,812"
201311050POR,2014,Tue,11,5,2013,10:00 pm,Houston,116,Portland,101,"17,491"
201311050SAC,2014,Tue,11,5,2013,10:00 pm,Atlanta,105,Sacramento,100,"13,506"
201311050TOR,2014,Tue,11,5,2013,7:00 pm,Miami,104,Toronto,95,"18,470"
201311060BOS,2014,Wed,11,6,2013,7:30 pm,Utah,87,Boston,97,"17,130"
201311060CHA,2014,Wed,11,6,2013,7:00 pm,Toronto,90,Charlotte,92,"11,118"
201311060IND,2014,Wed,11,6,2013,7:00 pm,Chicago,80,Indiana,97,"18,165"
201311060MEM,2014,Wed,11,6,2013,8:00 pm,New Orleans Pelicans,99,Memphis,84,"15,209"
201311060MIL,2014,Wed,11,6,2013,8:00 pm,Cleveland,104,Milwaukee,109,"14,340"
201311060MIN,2014,Wed,11,6,2013,8:00 pm,Golden State,106,Minnesota,93,"15,559"
201311060OKC,2014,Wed,11,6,2013,9:30 pm,Dallas,93,Oklahoma City Thunder,107,"18,203"
201311060ORL,2014,Wed,11,6,2013,7:00 pm,L.A. Clippers,90,Orlando,98,"15,807"
201311060PHI,2014,Wed,11,6,2013,7:00 pm,Washington,116,Philadelphia,102,"10,117"
201311060SAS,2014,Wed,11,6,2013,8:30 pm,Phoenix,96,San Antonio,99,"17,870"
201311070DEN,2014,Thu,11,7,2013,9:00 pm,Atlanta,107,Denver,109,"15,404"
201311070HOU,2014,Thu,11,7,2013,9:30 pm,L.A. Lakers,99,Houston,98,"18,133"
201311070MIA,2014,Thu,11,7,2013,7:00 pm,L.A. Clippers,97,Miami,102,"19,600"
201311080CHA,2014,Fri,11,8,2013,7:00 pm,New York,101,Charlotte,91,"16,465"
201311080CHI,2014,Fri,11,8,2013,8:00 pm,Utah,73,Chicago,97,"21,946"
201311080DET,2014,Fri,11,8,2013,7:30 pm,Oklahoma City Thunder,119,Detroit,110,"15,624"
201311080IND,2014,Fri,11,8,2013,7:00 pm,Toronto,84,Indiana,91,"13,316"
201311080MIN,2014,Fri,11,8,2013,8:00 pm,Dallas,108,Minnesota,116,"13,677"
201311080NOP,2014,Fri,11,8,2013,8:00 pm,L.A. Lakers,85,New Orleans Pelicans,96,"18,209"
201311080ORL,2014,Fri,11,8,2013,7:00 pm,Boston,91,Orlando,89,"17,555"
201311080PHI,2014,Fri,11,8,2013,7:00 pm,Cleveland,79,Philadelphia,94,"15,219"
201311080PHO,2014,Fri,11,8,2013,9:00 pm,Denver,103,Phoenix,114,"15,145"
201311080POR,2014,Fri,11,8,2013,10:00 pm,Sacramento,91,Portland,104,"17,627"
201311080SAS,2014,Fri,11,8,2013,8:30 pm,Golden State,74,San Antonio,76,"18,581"
201311080WAS,2014,Fri,11,8,2013,7:00 pm,Brooklyn Nets,108,Washington,112,OT,"17,215"
201311090ATL,2014,Sat,11,9,2013,7:30 pm,Orlando,94,Atlanta,104,"15,189"
201311090BRK,2014,Sat,11,9,2013,7:30 pm,Indiana,96,Brooklyn Nets,91,"17,732"
201311090CLE,2014,Sat,11,9,2013,7:30 pm,Philadelphia,125,Cleveland,127,2OT,"20,562"
201311090HOU,2014,Sat,11,9,2013,8:00 pm,L.A. Clippers,107,Houston,94,"18,108"
